2026-03-03 14:07:55.709 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 27733ms
2026-03-03 14:10:00.984 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:17:24.483 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:17:50.247 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 25764ms
2026-03-03 14:17:50.247 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:18:16.305 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 26058ms
2026-03-03 14:20:20.086 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:23:05.330 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:23:31.345 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 26014ms
2026-03-03 14:23:31.345 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:23:58.049 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 26704ms
2026-03-03 14:26:00.551 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:35:49.595 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:36:19.821 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 30226ms
2026-03-03 14:36:19.822 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:36:49.911 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 30089ms
2026-03-03 14:39:32.340 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:43:43.158 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:44:17.028 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 33870ms
2026-03-03 14:44:17.029 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:44:49.413 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 32383ms
2026-03-03 14:47:21.514 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:53:48.661 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:54:20.524 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 31862ms
2026-03-03 14:54:20.524 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:54:51.837 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 31312ms
2026-03-03 14:57:51.827 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:58:39.064 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 14:58:39.065 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 14:58:39.066 | INFO     | app.main:shutdown:91 - Servidor detenido
2026-03-03 14:59:15.575 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:59:46.737 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 31161ms
2026-03-03 14:59:46.737 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 15:00:19.756 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 33018ms
2026-03-03 15:03:01.651 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 15:51:00.955 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=frente - 807ms
2026-03-03 15:51:10.462 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=reverso - 819ms
2026-03-03 15:51:16.734 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=None - 285ms
2026-03-03 16:20:30.254 | INFO     | app.api.routes:verificar_comprobante:186 - Verificando comprobante - archivo: comprobante_domicilio-2 (1)-1.pdf - tamaño: 124.7KB
2026-03-03 16:20:36.715 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=reverso - 873ms
