fk_sucursal	distribuidor_id	sucursal	direccion_sucursal	coordenadas	latitud	longitud	activo
1296	549	VENTO ATLACOMULCO	Calle Isaias Monroy Cruz, Altavilla, Atlacomulco de Fabela, Atlacomulco, Estado de México, 50454, México	19.7943825596265, -99.88603967667882	19.7943826	-99.8860397	1
1297	883	TVS IRAPUATO	Blvd. Casimiro Liceaga	20,6742324,-101.3595994	20.6742203	-101.3595288	1
1298	543	RIDERMEX	NULL	NULL	NULL	NULL	1
1299	550	DINAMO TEXCOCO	23, Calle Silverio Pérez, Texcoco de Mora, Texcoco, Estado de México, 56140, México	19.509358290636634, -98.88489407648568	19.5093583	-98.8848941	1
1300	812	TVS CARMEN	Calle Abasolo, Colonia Nezahualcoyotl, Tamazunchale, San Luis Potosí, 79960, México	21.265323151487777, -98.79557921534948	21.2653232	-98.7955792	1
1302	812	TVS HUEJUTLA	NULL	NULL	NULL	NULL	1
1303	812	TVS MATLAPA	Carretera Federal México-Laredo, Matlapa, San Luis Potosí, 79970, México	21.325797010282777, -98.81610425767083	21.3257970	-98.8161043	1
1315	783	GRUPO GALLEGOS	Avenida Paseo Tabasco, Centro, Villahermosa, Centro, Tabasco, 86000, México	17.987532626742283, -92.92602551471884	17.9875326	-92.9260255	1
1317	939	BAJAJ VIAS	Los Fogones, 635, Avenida Hernán Cortés, Colonia Muñoz, San Luis Potosí, Municipio de San Luis Potosí, San Luis Potosí, 78170, México	22.169977535487085, -101.00133903372563	22.1699775	-101.0013390	1
1318	939	TVS SAUCITO	La Victoria Barber Estudio, 2126B, Carretera San Luis Potosí - Entronque Arcinas, Colonia División del Norte, San Luis Potosí, Municipio de San Luis Potosí, San Luis Potosí, 78110, México	22.183641438644255, -101.00151034593658	22.1836414	-101.0015103	1
1319	939	TVS LOMAS KAWAZAKI	Venta de Pollo Asado Pollos Potosinos, 136, Avenida Sierra Leona, Colonia Lomas de San Luis 3a. Sección, San Luis Potosí, Municipio de San Luis Potosí, San Luis Potosí, 78210, México	22.140799061689137, -101.02168146095188	22.1407991	-101.0216815	1
1320	844	RYSE OBELISCO	Blvd. Adolfo López Mateos Oriente 1802, León, Guanajuato, C.P. 37270	NULL	21.1327000	-101.6573000	1
1321	844	RYSE SAN JUAN BOSCO	Blvd. San Juan Bosco 2901, León, Guanajuato, C.P. 37330	NULL	21.1308719	-101.7050035	1
1322	844	RYSE LAGOS I	Orozco y Jiménez	NULL	21.3596000	-101.9440000	1
1323	844	RYSE AGS CENTRO	Av. Francisco I. Madero 420, Zona Centro, Aguascalientes, C.P. 20000	NULL	21.8817614	-102.2975605	1
